ID,Country,Country_ID,ISO2,ISO3,ADMIN1_NAME,ADMIN1_CODE,ADMIN2_NAME,ADMIN2_CODE,IU_NAME,IU_ID,LocationName,Longitude,Latitude,Georeliability,LocationType,SurveyYear,Period,Method_0,Method_1,Method_2,Examined,Positive,Prevalence,Source,Funding,Composite_IU_ID,elevation,dist_water,MEANndvi,Sdndvi,MAXndvi,MINndvi
538,Cameroon,7,CM,CMR,CENTRE,819,"NANGA EBOKO",7447,"NANGA EBOKO",7447,Mbeli/Golkong I,12.82,4.77694444,1,Village,2003,2001 - 2005,Mapping,RAPLOA,Questionnaire,95,57,0.6,APOC,APOC,ACMR0081907447,0.646,20.3159999847412,0.711106724956757,0.102160045607081,0.873406081147522,0.456295461393842
615,Cameroon,7,CM,CMR,EST,820,BERTOUA,7461,BERTOUA,7461,BIOMBE,13.33333333,5,1,Village,2004,2001 - 2005,Mapping,RAPLOA,Questionnaire,80,37,0.4625,APOC,APOC,ACMR0082007461,0.707,3.12800002098083,0.736573674114629,0.071435186050892,0.857986911881309,0.404073976380559
993,Cameroon,7,CM,CMR,SUD,826,EBOLOWA,7583,EBOLOWA,7583,MINKOK,11.32095,2.61881,1,Village,2009,2006 - 2010,Mapping,RAPLOA,Questionnaire,69,59,0.855072464,APOC,APOC,ACMR0082607583,0.578,34.7970008850098,0.760855864497217,0.070253444250333,0.904806168432253,0.575765816335319
1096,Cameroon,7,CM,CMR,SUD,826,SANGMELIMA,7589,SANGMELIMA,7589,Nkpwang,11.9593,3.03768333,1,Village,2004,2001 - 2005,Mapping,RAPLOA,Questionnaire,86,37,0.430232558,APOC,APOC,ACMR0082607589,0.705,10.7320003509521,0.755078800209275,0.07759775681197,0.865122489265785,0.536605101401184
391,Cameroon,7,CM,CMR,ADAMAOUA,818,MEIGANGA,7423,MEIGANGA,7423,BABONGO,14.1814,6.80714,1,Village,2010,2006 - 2010,Mapping,RAPLOA,Questionnaire,80,0,0,APOC,APOC,ACMR0081807423,1.113,11.5059995651245,0.584417181612051,0.136008066564473,0.786086454597339,0.375648770663341
633,Cameroon,7,CM,CMR,EST,820,BETARE OYA,7462,BETARE OYA,7462,BAMBOUTI,14.03333333,5.08333333,1,Village,2004,2001 - 2005,Mapping,RAPLOA,Questionnaire,75,40,0.533333333,APOC,APOC,ACMR0082007462,0.816,33.564998626709,0.687168792482977,0.118051934941063,0.838426996759808,0.436376766141757
1136,Cameroon,7,CM,CMR,SUD OUEST,827,KONYE,7598,KONYE,7598,Mbakwa Supe,9.41866,5.01579,1,Village,2010,2006 - 2010,Mapping,RAPLOA,Questionnaire,80,14,0.175,APOC,APOC,ACMR0082707598,0.299,9.90799999237061,0.751731339283079,0.078993572190023,0.881859129909224,0.537647313905799
1050,Cameroon,7,CM,CMR,SUD,826,MVANGAN,7587,MVANGAN,7587,OFO,11.76737,2.72091,1,Village,2009,2006 - 2010,Mapping,RAPLOA,Questionnaire,80,59,0.7375,APOC,APOC,ACMR0082607587,0.602,34.4869995117187,0.762228769013154,0.07371295868796,0.917918082302448,0.558628188358716
402,Cameroon,7,CM,CMR,ADAMAOUA,818,NGAOUNDAL,7424,NGAOUNDAL,7424,BEKA GOHO,13.11164,6.74765,1,Village,2010,2006 - 2010,Mapping,RAPLOA,Questionnaire,78,3,0.038461538,APOC,APOC,ACMR0081807424,1.058,17.3589992523193,0.653315570568508,0.103896738939643,0.814455889946367,0.447660503304716
745,Cameroon,7,CM,CMR,LITTORAL,822,NDOM,7518,NDOM,7518,Esseing,10.65421,4.34715,1,Village,2010,2006 - 2010,Mapping,RAPLOA,Questionnaire,79,39,0.493670886,APOC,APOC,ACMR0082207518,0.832,28.0489997863769,0.771569516561214,0.076106344844853,0.91681158321504,0.550301844783233
